ISBN,Title,product_line,public_domain_work,royaltied,self,Series Name,Series Number
9.78E+12,'It Was Compromised': The Trump Administration's Unprecedented Campaign to Control CDC and Politicize Public Health During the Coronavirus Crisis,Science Phile,TRUE,FALSE,,,
9.78E+12,a Blue Arctic,Naval History,TRUE,FALSE,AI Lab for Book-Lovers,9,
9.78E+12,A Day Book with Prompts,Self-help,FALSE,FALSE,TRUE,,
9.78E+12,"A Priceless Advantage: U.S. Navy Communications Intelligence and the Battles of Coral Sea, Midway, and the Aleutians",Naval History,TRUE,FALSE,,,
9.78E+12,A Quarterly Day Book With Prompts and Tools,Self-help,FALSE,FALSE,TRUE,,
9.78E+12,A Serendipity Reader on Deutschland,Naval History,FALSE,FALSE,TRUE,,
9.78E+12,A Serendipity Reader on Frigates,Naval History,FALSE,FALSE,TRUE,,
9.78E+12,A Serendipity Reader on Milkweed,Science Phile,FALSE,FALSE,TRUE,,
9.78E+12,Misquotes in MISQUOTING JESUS: Why You Can Still Believe,Christian Themes,FALSE,TRUE,,,
9.78E+12,A Serendipity Reader on Mindfulness,Self-help,FALSE,FALSE,TRUE,,
9.78E+12,A Serendipity Reader on Serendipity,Self-help,FALSE,FALSE,TRUE,,
9.78E+12,Alien: How Operational Art Devoured Strategy,Military Public Domain,TRUE,FALSE,,,
9.78E+12,Alliance For Hippocratic Medicine v. FDA,Law,TRUE,FALSE,,,
9.78E+12,Amalgamated International and U.S. Inland Navigation Rules,Coast Guard,TRUE,FALSE,,,
9.78E+12,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,International Politics,FALSE,TRUE,,,
9.78E+12,Daniel Defoe's Robinson Crusoe and Alexander Selkirk,Classics,FALSE,TRUE,,,
9.78E+12,"AMERICAN THEOCRACY Unpacked: Arguments Disassembled, Implications Explored, and a Way Forward Suggested",Politics,FALSE,FALSE,TRUE,,
9.78E+12,"Bearing the Unbearable: Coping with Infertility and Other Profound Suffering, or What to Do When Taking Charge of Your Fertility Fails",Christian Themes,FALSE,TRUE,,,
9.78E+12,The JESUS FAMILY TOMB Controversy: How the Evidence Falls Short,Christian Themes,FALSE,TRUE,,,
9.78E+12,A Fandom of Magical Proportions: An Unauthorized History of The Harry Potter Phenomenon,Harry Potter,FALSE,TRUE,,,
9.78E+12,Red Zone Blues: a snapshot of Baghdad during the surge,International Politics,FALSE,TRUE,,,
9.78E+12,An Administrative History of Pts in World War II,Torpedo Boats,TRUE,FALSE,,,
9.78E+12,Azkatraz 2009: Inside the Cell,Popular Culture,FALSE,TRUE,,,
9.78E+12,The Ultimate Unofficial Guide to The Harry Potter Fandom,Harry Potter,FALSE,TRUE,,,
9.78E+12,An Analysis Of The Origins Of The Covid-19 Pandemic,Science Phile,TRUE,FALSE,,AI Lab for Book-Lovers,10
9.78E+12,Analysis of Unmanned Undersea Vehicle (Uuv) Architectures and an Assessment of Uuv Integration Into Undersea Applications,Naval History,TRUE,FALSE,,,
9.78E+12,The Young Conservative's Field Guide,Politics,FALSE,TRUE,,,
9.78E+12,Professor Barrister's Dinosaur Mysteries #1: The Case Of The Truncated Troodon,Children's Books,FALSE,TRUE,,,
9.78E+12,Journey to the End of the Earth: WW2 Wargames in the Frozen North,Naval History,FALSE,TRUE,,,
9.78E+12,Annotated Bibliography of the Space Shuttle (Two Volumes),Space Power,TRUE,FALSE,,,
9.78E+12,Aquiline: The CIA's Bird Drone Program,Intelligence,TRUE,FALSE,,,
9.78E+12,Cold War Saga,International Politics,FALSE,TRUE,,,
9.78E+12,THE LOST SYMBOL -- Found: Unauthorized Analysis of Dan Brown's Novel,Popular Culture,FALSE,TRUE,,,
9.78E+12,THE LOST SYMBOL -- Found: Unauthorized Analysis of Dan Brown's Novel,Popular Culture,FALSE,TRUE,,,
9.78E+12,Army Air Force Special Operations in the Balkans During World War II,Military Public Domain,TRUE,FALSE,,,
9.78E+12,The Young Conservative's Field Guide,Politics,FALSE,TRUE,,,
9.78E+12,Arsenal Ship Omnibus,Naval History,TRUE,FALSE,TRUE,,
9.78E+12,Basic Documents about the Treatment of Detainees at Guantanamo and Abu Ghraib,Law,TRUE,FALSE,TRUE,,
9.78E+12,Skeeter Uses Manners (Skeeter Sneeter Doodlebop #2),Children's Books,FALSE,TRUE,,,
9.78E+12,Professor Barrister's Dinosaur Mysteries #2: The Case of the Armored Allosaurus,Children's Books,FALSE,TRUE,,,
9.78E+12,You've Got to Stand for Something: A Guide to Understanding and Restoring America's Founding Principles,Politics,FALSE,TRUE,,,
9.78E+12,Battleship YAMATO: Why She Matters Today,Battleships,FALSE,FALSE,TRUE,,
9.78E+12,"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today",Battleships,FALSE,FALSE,TRUE,,
9.78E+12,Bombs from On High,Military History,TRUE,FALSE,,AI Lab for Book-Lovers,13
9.78E+12,Borodino: Why It Matters Today,Napoleonics,FALSE,FALSE,TRUE,,
9.78E+12,Bureau 39: North Korea's Super Criminals,Military Public Domain,TRUE,FALSE,,,
9.78E+12,Capitol Attack,Law,TRUE,FALSE,,,
9.78E+12,Chief of Space Operations' Planning Guidance:,Space Power,TRUE,FALSE,,,
9.78E+12,Chronology of the U.S. Army in World War II,Military Public Domain,TRUE,FALSE,,,
9.78E+12,Coalition Space Operations,Space Power,TRUE,FALSE,,,
9.78E+12,Coast Guard Navigation Standards:,Coast Guard,TRUE,FALSE,,,
