text,label
was my bank account frozen for a specific reason,account blocked
"could you please tell me, my wells fargo account, is there a hold and why",account blocked
my dte and water bills are how much,bill balance
find out the cost of my bill payments,bill balance
tell me how to locate the interest rate for my jonah account,interest rate
does my checking interest rate seem low,interest rate
i really need to order some more checks for my savings account,order checks
can you explain to me how to get some more checkbooks mailed to me,order checks
i want to pay off my student loan,pay bill
help me pay my cable bill,pay bill
i need you to change the pin on my bank of america account to be 1234,pin change
change the pin on my bank account first republic to 1234,pin change
i think someone stole my card and used it,report fraud
how do i report a fraudulent charge on my visa,report fraud
show me the routing number for chase,routing
can you tell me the routing number for my chase checking,routing
how much money have i dropped recently,spending history
have i been spending a lot on roast beef lately,spending history
pull up my recent transactions on my mastercard,transactions
can you pull up my most recent transactions,transactions
