key,Section,Tab,Subtab,Area,Row,Col,Unit,Desc,value
Input_CAES_hour_time,Balancing and Storage,Electricity,,Advanced CAES,,Average period (hours),Hours,,0.83062
input_ElecStorProfitMargin,Balancing and Storage,Electricity,,Advanced CAES,,Define profit margin increase of Electricity Storage 2 in percent of min profit margin,,,0.83063
input_eh2,Balancing and Storage,Electricity,,Critical Excess Electricity Production (CEEP),,4. Replacing boiler with electric heating in gr. 2 with maximum capacity,MW,,0.83051
input_eh3,Balancing and Storage,Electricity,,Critical Excess Electricity Production (CEEP),,5. Replacing boiler with electric heating in gr. 3 with maximum capacity,MW,,0.83052
input_chpgr3_cap_minimum,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Minimum CHP in gr. 3,MW,,0.83016
input_pp_cap_minimum,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Minimum PP,MW,[cc] Min spinning thermal reserve,0.83017
input_stabilisation_share_min,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Minimum grid stabilisation share,Fraction,,0.83011
input_stabilisation_share_V2G,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Stabilisation share V2G,Fraction,Share of charge connection,0.83014
input_stabilisation_share_chp2,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Stabilisation share of CHP2,Fraction,,0.83012
input_stabilisation_share_waste,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Stabilisation share of Waste CHP,Fraction,,0.83013
input_stabilisation_share_TransmissionLine,Balancing and Storage,Electricity,,Electric grid stabilisation requirements,,Stabilisation share transmission line,Fraction,Share of max capacity,0.83015
input_cap_pump_el,Balancing and Storage,Electricity,,Electricity Storage 1,Charge,Capacity,MW,,0.83031
input_eff_pump_el,Balancing and Storage,Electricity,,Electricity Storage 1,Charge,Efficiency,Fraction,,0.83032
input_cap_turbine_el,Balancing and Storage,Electricity,,Electricity Storage 1,Discharge,Capacity,MW,,0.83034
input_eff_turbine_el,Balancing and Storage,Electricity,,Electricity Storage 1,Discharge,Efficiency,Fraction,,0.83035
input_CAES_fuel_ratio,Balancing and Storage,Electricity,,Electricity Storage 1,Fuel,Fuel Ratio,Ratio,Fuel ratio = fuel input / elctric output (for CAES technologies or simlar). [cc] What does that mean? It sounds like efficiency…,0.83036
input_storage_pump_cap,Balancing and Storage,Electricity,,Electricity Storage 1,Storage,Capacity,GWh,,0.83033
input_cap_pump_el2,Balancing and Storage,Electricity,,Electricity Storage 2,Charge,Capacity,MW,,0.83041
input_eff_pump_el2,Balancing and Storage,Electricity,,Electricity Storage 2,Charge,Efficiency,Fraction,,0.83042
input_cap_turbine_el2,Balancing and Storage,Electricity,,Electricity Storage 2,Discharge,Capacity,MW,,0.83044
input_eff_turbine_el2,Balancing and Storage,Electricity,,Electricity Storage 2,Discharge,Efficiency,Fraction,,0.83045
input_storage_pump_cap2,Balancing and Storage,Electricity,,Electricity Storage 2,Storage,Capacity,GWh,,0.83043
input_cap_rock_el,Balancing and Storage,Electricity,,Rockbed Storage,Charge (electricity),Capacity,MW,,0.83021
input_cap_rock_steam,Balancing and Storage,Electricity,,Rockbed Storage,Discharge (steam),Capacity,MW,,0.83023
input_rock_store_cap,Balancing and Storage,Electricity,,Rockbed Storage,Storage,Capacity,GWh,,0.83025
share_rock_store,Balancing and Storage,Electricity,,Rockbed Storage,,Share of PP1/CHP,Fraction,,0.83024
input_rock_steam_output_eff,Balancing and Storage,Electricity,,Rockbed Storage,,Steam/fuel ratio,Ratio,,0.83026
input_rock_store_loss,Balancing and Storage,Electricity,,Rockbed Storage,,Storage loss rate,Percent per hour,,0.83022
Input_GasNetStorage,Balancing and Storage,Liquid and Gas Fuels,,Fuel Storage,Gas,Storage,GWh,,0.85011
Input_MethanolNetStorage,Balancing and Storage,Liquid and Gas Fuels,,Fuel Storage,Methanol,Storage,GWh,,0.85013
Input_OilNetStorage,Balancing and Storage,Liquid and Gas Fuels,,Fuel Storage,Oil,Storage,GWh,,0.85012
input_HH_HP_StorageMaxCapLimit,Balancing and Storage,Thermal,,Individual Heat Pump Regulation,,Max loading when storage is empty corresponding to max. unloading when storage is full (given in share of max. heat demand),Fraction,,0.84021
input_HH_HP_StorageMinCapLimit,Balancing and Storage,Thermal,,Individual Heat Pump Regulation,,Max loading when storage is full corresponding to max. unloading when storage is empty (given in share of max. heat demand),Fraction,,0.84022
input_storage_gr2_cap,Balancing and Storage,Thermal,,Thermal Storage,,Group 2,GWh,,0.84011
input_storage_gr3_cap,Balancing and Storage,Thermal,,Thermal Storage,,Group 3,GWh,,0.84012
input_BrineShare,Demand,Desalination,,Desalination plant including pumps,Desalination,Brine share of salt water,m3/m3,,0.11024
input_DesalinationPlantCapacity,Demand,Desalination,,Desalination plant including pumps,Desalination,Capacity,1000 m3 fresh water/hour,,0.11021
input_DesalinationPlantEfficiency,Demand,Desalination,,Desalination plant including pumps,Desalination,Efficiency,kWh/m3 fresh water,,0.11022
input_FreshWaterShare,Demand,Desalination,,Desalination plant including pumps,Desalination,Fresh water share of salt water,m3/m3,,0.11023
FreshWaterDemand,Demand,Desalination,,Fresh water demand from desalination and storage,Fresh Water,Demand,Gm3/year,,0.11011
Filnavn_Freshwater,Demand,Desalination,,Fresh water demand from desalination and storage,Fresh Water,Demand [Distribution],Distribution file,,d11011.txt
input_FreshWaterPumpCapacity,Demand,Desalination,,Fresh water demand from desalination and storage,Fresh Water,Pump Actual Capacity,MW,,0.11014
input_FreshWaterPumpEfficiency,Demand,Desalination,,Fresh water demand from desalination and storage,Fresh Water,Pump Efficiency,kWh/m3 water,,0.11013
input_FreshWaterStorageCapacity,Demand,Desalination,,Fresh water demand from desalination and storage,Fresh Water,Storage,Mm3,,0.11012
input_BrineEnergyEquivalent,Demand,Desalination,,Pump hydro energy storage,Brine,Energy equivalent of brine in storage,kWh/m3,,0.11036
input_BrineStorageCapacity,Demand,Desalination,,Pump hydro energy storage,Brine,Storage,Mm3,,0.11035
input_DesalinationPumpCapacity,Demand,Desalination,,Pump hydro energy storage,Pump,Capacity,MW,,0.11034
input_DesalinationPumpEfficiency,Demand,Desalination,,Pump hydro energy storage,Pump,Efficiency,kWh/kWh,,0.11032
input_DesalinationTurbineCapacity,Demand,Desalination,,Pump hydro energy storage,Turbine,Capacity,MW,,0.11033
input_DesalinationTurbineEfficiency,Demand,Desalination,,Pump hydro energy storage,Turbine,Efficiency,kWh/kWh,,0.11031
Input_add_el_TWh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Additional electricity demand,Energy,TWh/year,,112
Filnavn_add_el,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Additional electricity demand [Distribution],Change Distribution,Distribution file,,zero.txt
Input_El_demand_cooling_share,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Electric cooling (IF included),Energy,TWh/year,Subtract electric cooling using distribution from ‘cooling’ window,114
Input_El_demand_elec_heating_share,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Electric heating (IF included),Energy,TWh/year,Subtract electric heating using distribution from ‘individual’ window,113
Input_el_demand_Twh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Electricity demand*,Energy,TWh/year,,111
Filnavn_elbehov,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Electricity demand* [Distribution],Change Distribution,Distribution file,,zero.txt
input_AddExport_TWh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Fixed Import/Export,Energy,TWh/year,,121
Filnavn_AddExport,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Fixed Import/Export [Distribution],Change Distribution,Distribution file,,zero.txt
input_flexible_day_TWh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (1 day),Energy,TWh/year,,115
input_flexible_day_max,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (1 day),Max-effect,MW,,116
input_flexible_week_TWh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (1 week),Energy,TWh/year,,117
input_flexible_week_max,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (1 week),Max-effect,MW,,118
input_flexible_4weeks_TWh,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (4 weeks),Energy,TWh/year,,119
input_flexible_4weeks_max,Demand,Electricity,,Electricity Demand and Fixed Import/Export,Flexible demand (4 weeks),Max-effect,MW,,120
Filnavn_dh,Demand,Heating,,District Heating,District Heating [Distribution],Change Distribution,Distribution file,[cc] Not sure what this sets – output hours of all DH?,zero.txt
input_dh_ann_loss_gr1,Demand,Heating,,District Heating,Group 1,Network Losses,Fraction,,0.0081
input_dh_ann_gr1,Demand,Heating,,District Heating,Group 1,Production,TWh,"[cc] Row / col is flipped, because it makes more sense with naming convention",8031
input_dh_ann_loss_gr2,Demand,Heating,,District Heating,Group 2,Network Losses,Fraction,,0.0082
input_dh_ann_gr2,Demand,Heating,,District Heating,Group 2,Production,TWh,"[cc] Row / col is flipped, because it makes more sense with naming convention",8032
input_dh_ann_loss_gr3,Demand,Heating,,District Heating,Group 3,Network Losses,Fraction,,0.0083
input_dh_ann_gr3,Demand,Heating,,District Heating,Group 3,Production,TWh,"[cc] Row / col is flipped, because it makes more sense with naming convention",8033
input_HH_bioboiler_eff,Demand,Heating,,Individual Heating,Biomass boiler,Efficiency Thermal,Fraction,,0.1004
