text,label
What's the address of the restaurant Sunset Bistro?,information
Does Gastronomy Gala have a valet parking service?,information
Where can I find the best sushi in town?,cuisine
Suggest a restaurant with a diverse fusion menu.,cuisine
How do I get to the Sunny Bites restaurant from here?,directions
Can you provide bike directions to the Aromatic Artistry eatery?,directions
Reserve a cozy corner for a party of four at Gastronome Delight.,reservations
I'd like to secure a table with a view for two at Sunset Bistro.,reservations
Is La Bella Italia open now?,open hours
What are the operating hours of Spice Fusion?,open hours
What do people say about Myrto Restaurant?,rating
The food at 'Gastronomy Haven' is absolutely divine!,rating
'Flavor Theater' stages a theatrical experience of culinary delight.,rating
