label,text
information,What's the address of the restaurant Sunset Bistro?
information,Does Gastronomy Gala have a valet parking service?
cuisine,Where can I find the best sushi in town?
cuisine,Suggest a restaurant with a diverse fusion menu.
directions,How do I get to the Sunny Bites restaurant from here?
directions,Can you provide bike directions to the Aromatic Artistry eatery?
reservations,Reserve a cozy corner for a party of four at Gastronome Delight.
reservations,I'd like to secure a table with a view for two at Sunset Bistro.
open hours,Is La Bella Italia open now?
open hours,What are the operating hours of Spice Fusion?
rating,What do people say about Myrto Restaurant?
rating,The food at 'Gastronomy Haven' is absolutely divine!
rating,'Flavor Theater' stages a theatrical experience of culinary delight.
