text,label
What time is your call centre operational during COVID?,CALL CENTER
is the call center still functioning during lockdown,CALL CENTER
I'd like to cancel my pending order,CANCEL ORDER
How can I cancel my pending order?,CANCEL ORDER
Chat with agent,CHAT WITH AGENT
I need customer support,CHAT WITH AGENT
Tell me weight gaining,CONSULT START
Consult Start,CONSULT START
Is there a delay in delivery becuase of the pandemic?,DELAY IN PARCEL
How long is parcel delayed because of COVID?,DELAY IN PARCEL
What if I receive expired product,EXPIRY DATE
I have received an Expired product,EXPIRY DATE
Get Franchise,FRANCHISE
would like to associated as seller,FRANCHISE
Track my order,ORDER STATUS
What is my shipment status,ORDER STATUS
Delivery out of India,INTERNATIONAL SHIPPING
International Shipping,INTERNATIONAL SHIPPING
Modes of payments,MODES OF PAYMENTS
ways of paymets,MODES OF PAYMENTS
Change delivery address?,MODIFY ADDRESS
Delivery address is wrong it is to be changed,MODIFY ADDRESS
I have a query related to my order,ORDER QUERY
Help required on order,ORDER QUERY
Are you taking orders during COVID?,ORDER TAKING
i know its lockdown due to coronavirus but can i still place an order?,ORDER TAKING
Original Products,ORIGINAL PRODUCT
do you have authentic products,ORIGINAL PRODUCT
I want to know my refund status,REFUNDS RETURNS REPLACEMENTS
I want to know about my replacements,REFUNDS RETURNS REPLACEMENTS
I want to know about my payments,PAYMENT AND BILL
Payments and Bills,PAYMENT AND BILL
Portal not working,PORTAL ISSUE
Option is not visible,PORTAL ISSUE
Product Service,CHECK PINCODE
pincode serviceable,CHECK PINCODE
Recommend a product,RECOMMEND PRODUCT
What are all the products you have?,RECOMMEND PRODUCT
Reedem referral,REFER EARN
My friend refer me to CureKart,REFER EARN
When will you resume delivery due to COVID?,RESUME DELIVERY
are you going to start delivery during this lockdown period as well?,RESUME DELIVERY
It has any side effects or not,SIDE EFFECT
Does it have side effects?,SIDE EFFECT
New to CureKart?,SIGN UP
Where can I sign up,SIGN UP
Show me the main menu,START OVER
Start again,START OVER
Can I visit your store,STORE INFORMATION
Àre your shops operational,STORE INFORMATION
Re-assess my profile,USER GOAL FORM
I would want to take re-assessment,USER GOAL FORM
Is your head office working during lockdown?,WORK FROM HOME
is curekart office open during the lockdown?,WORK FROM HOME
How can I increase my immunity,IMMUNITY
I want to increase my immunity power,IMMUNITY
