text,label
the apr on my visa card is what,apr
does my credit card apr fall into a good range,apr
my card declined yesterday and i want to know why,card declined
find out why my card declined yesterday,card declined
what can i put on my bank of america card,credit limit
how high is my credit limit for my american express card,credit limit
how do increase the credit limit on my visa card,credit limit change
can i increase my credit limit from 1000 to 2000 please,credit limit change
is my credit report low,credit score
find my credit score,credit score
my card is broken,damaged card
"i bent my card, can you report it to my bank",damaged card
tell me the month my card expires,expiration date
does my credit card expire soon,expiration date
"if i use my card in tahiti, will i be charged",international fees
are there extra fees for using my card in mexico,international fees
i wanna apply for a new credit card,new card
can you apply for idaho independent card for me,new card
i want to cash my credit card points,redeem rewards
can you explain to me how i ought to use my credit card points,redeem rewards
