idea,short code,Unnamed: 2,short_code
"1. ""The Secret Society of Parent-Disapprovers,"" where a group of kids form a secret club to share their dissatisfaction with parental rules and come up with outrageous plans to rebel against them.",,,
"2. ""Undercover Siblings,"" a series about siblings who team up to gather intel on their parents' strange behavior, using spy gadgets and logic puzzles.",,,
"3. ""My Parents are Aliens!"" - an adventure story where children discover that their parents are actually extraterrestrial beings and set out to uncover the truth behind their arrival on Earth.",,,
"4. ""Matilda Meets the Magic Lamp,"" in which Matilda finds an enchanted lamp that lets her wish for anything she desires (including better parental obedience).",,,
"5. ""Parental Parolee Predicaments"" - a pithy novel experience from multiple perspectives about various different sorts of rebellious children whose parents happen to be convicted felons.",,,
"6. ""The Day My Parents Disappeared"" - after wishing upon a magical star for some peace, two siblings wake up one day without any adults around; this book is all about what they do next.",,,
"7. ""Sassy Kids Against Boring Adults"" – funny perceptions/gossip blogs written by informative kids as they compare themselves to ultra-boring grownups in average-wage jobs—Such as teachers or bankers!",,,
"8. ""Wishful Thinking""- A vibrant cast discovers three wishes each year! Will it bring problems or solutions? They must choose wisely…",,,
9: “Parallel Universe Un-Parenthood” – featuring alternate version universes wherein children find themselves without adopting guardians but maintain other close family members’ friendships/work for survival,,,
10: “Time Traveling Tots”- we will follow our child protagonist(s) through history as they go back into time whilst adventuring towards discovering which instance in time leads his/her/their beloved family member astray?,,,
"1. ""Breaking Barriers"" - A series following the stories of different teens as they embark on their dream careers, facing obstacles big and small along the way.",,,
"2. ""TrailBlazers"" - The adventures of a group of innovative young people who are determined to break into fields that have traditionally been closed to them.",,,
"3. ""First Steps"" - Follow the journey of young stars navigating their first steps in difficult industries such as fashion, music or sports.",,,
"4. ""New Heights"" - These teens shoot for the moon, pursuing high-flying jobs like pilots, astronauts and aviation engineers despite everyone else telling them it's impossible.",,,
"5. ""Find Your Rhythm"" – This book series follows musical artists from the beginning days playing gigs in back alley bars all the way up until they hit stardom status with millions waiting worldwide for new releases.",,,
6. “Game On” – This book rings true with gamers everywhere: A twisted plot of youth aspiring to be professional players someday while getting caught up in this dangerous world where anything is possible and expected,,,
"7.""Let's Cook!"" Teens cater cuisines and conquer cooking competitions aimed at survival against each other",,,
"8.""By Land Or Sea""- These adventurers dream big when aiming at becoming marine biologists trailing ocean life or earth-loving scientists trekking far-and-wide for environmental initiatives .",,,
9.“In Her Shoes”- Young ladies take center stage overcoming hate speech & harassment while studying law cases through female perspectives ,,,
"10.""Creating Change""- Our lead characters share aspirations towards prominent public service occupations bringing changes locally starting globally",,,
"1. The Hidden Professions: A group of middle schoolers discover their passion for unconventional careers, such as puppeteering, tarot reading, and urban farming. Together they navigate the challenges of pursuing these paths while facing opposition from parents and peers.",,,
"2. Dream Chasers: Four friends decide to pursue their dream jobs after a class assignment on career exploration leads them down unexpected paths in the fields of journalism, astronomy, robotics engineering and fashion design.",,,
3. Nonconformist Careers101: A quirky guidebook for young people who want to follow their own unique path in life but don't know where to start. It offers advice on niche career options like ice cream taster or amusement park ride tester along with real-world examples of people who have succeeded in these fields against all odds.,,,
"4. Artistic Ambitions: Follow four budding artists through high school as they face the obstacles (and joys) that come with pursuing painting, sculpting, writing and acting professionally from a young age",,,
5. Fearless Femmes Follow Future Fates is centered around five girls determined not to live up to society's expectations by following typical conventions when it comes to career choices; instead they chart courses that are far from monotony - lion taming anyone?,,,
6.Confidence Crisis Chronicles-Each book follows one girl whose steadfast self-esteem gets tested when she moves towards more unconventional professions such as treasure hunting through ancient tombs.Pick up some valuable lesson about believing oneself!,,,
"7.Following Your Passion Persists-Piloted by 12 individuals this series journeys into how difficult yet feasible yet finding professional fulfillment could be! Touches upon intergenerational differences,dissent between traditional titles verses new fronteirs,and unlocking your dreams behind locked vaults!",,,
"8.Career Counseling For Dummies-A multi-part handguide filled with funny anecdotes,silly puns,and memes which serve both entertainment value and practice tips for students looking forward to following offbeat career choices.",,,
"9.Career Cravings- Follows the lives of five friends who gather together every week to discuss different career trajectories and how each one can make their future more adventurous, with less fear. Go on a journey exploring different possibilities until they find what suits them best!",,,
"10.Smashing Stereotypes: Join 5 teens as they shatter societal and cultural stereotypes while pursuing unconventional professions like being a pro-gaming streamer,a drag artist or an independent filmmaker.Their witty comeback lines,you will laugh out loud!",,,
"1. ""The Nighttime Adventures of the Grumbling Kids"" – Each book follows a group of kids as they complain about different things keeping them away from their parents, but through their adventures they learn new ways to connect with each other and with their families.",,,
"2. ""Parent Trap Chronicles"" - Twins Lucy and Leo are always trying to find ways to bring their separated parents back together, leading to hilariously inventive schemes.",,,
"3. ""Family Bonding Mishaps"" – A series following siblings who constantly bicker over mundane issues until something crazy happens that forces them to come together as a family.",,,
"4. ""Clash of the Generations Holidays"" – The grandparents have one way of celebrating holidays while the kids have another; chaos ensues until they figure out how to combine both.",,,
"5. ""Sleepover Shenanigans"" – Three friends struggle with sleepovers when one is afraid of ghosts, another has terrible night terrors, and the last constantly hogs all the blankets",,,
6. “Weekend Warriors”- Four best friends spend every weekend finding quirky ways around strict house rules like bedtimes or screen time limitations,,,
7. “Siblings vs Parents: Battleground Home”- Two brothers and two sisters get creative in fighting against overly protective parents by enlisting unusual allies (like pets) or creating clever distractions ,,,
8.“Superhero Saturdays at Home “ - Every Saturday at home turns into an epic superhero mission for three siblings who must save imaginary cities from monsters invading via ordinary household objects ,,,
"9.""Ruling at Recess""- A trio navigate school politics and rule-making by using unconventional tactics such as banding together unlikely groups like teacher's pets with some playground rebels  ",,,
"10.""Bedtime Therapy Session""- Three friends call up each other before bedtime every day exchanging hilarious stories about why they loathe particular rules or chores assigned by their families followed by brainstormed solutions",,,
Error: json() got an unexpected keyword argument 'collapse',,,
"1. ""The Bedtime Battle"" series: A tale of a headstrong child who refuses to sleep until her parents agree to let her watch TV for five more minutes each night.",,,
"2. ""Mommy, Please Stay!"" series: An empathetic story about a little boy who struggles with the concept of bedtime and desperately clings to his mother's side as she tries to leave him alone in his room.",,,
"3. ""Don't Make Me Go To Bed!"" series: A funny insight into the stubborn mind of a child who will do whatever it takes – including staging elaborate schemes – to delay going to bed.",,,
"4. ""No More Naps!"" series: An offbeat take on how kids hate being forced by their parents to take naps when they aren't feeling sleepy at all.",,,
"5. ""I Want To Sleep With You!"" series: As quirky and snarky as they come, this book follows a precocious little girl who thinks sleepovers should be an everyday affair… even if that means sharing the bed with Mom and Dad!",,,
"6. ""Bedtime Monster"" series: Another highly formulaic tale featuring a nocturnal creature that visits children at night, but funny enough for kids (and adults!) alike to never get tired of reading it again and again.",,,
"7. ""The Longest Goodnight"" series: A poignant exploration of separation anxiety through the eyes of a kid whose imagination goes wild after saying goodnight without realizing tomorrow is never guaranteed for anyone.",,,
"8. ""Sleepwalking Chronicles"": In this weird yet engaging story arc, we follow two siblings trying to outdo each other in ever-more-intricate sleepwalking pranks involving missing objects from around their house or neighborhood!",,,
"9. ""Late-Night Sneak-Outs"": For those school-age readers already yearning for independence, follow along as our clever protagonist creates diabolical plans during multiple attempts at sneaking out past their parents to stay up way too late.",,,
"10. ""Bedtime Stories for Rebels"": Tired of sugarcoating the truth about bedtime routines, this snappy retelling of classic tales like Cinderella and Sleeping Beauty flips our beloved princesses' narratives on their head – with plenty of sass and legitimate arguments against being sent to bed before they're ready.",,,
"1. ""The Bedtime Adventures of the Separation Squad"". Follow a group of kids as they create hilarious schemes to trick their parents into staying with them at bedtime.",,,
"2. ""No More Goodnights"". When a young girl realizes that saying goodnight means her parents will leave the room, she decides to take matters into her own hands and explore all sorts of shenanigans in the middle of the night.",,,
"3. ""My Parents Live Under My Bed"". After hearing rumors about monsters living under his bed, a boy discovers something even worse: his parents have been sneaking down there every night!",,,
"4. ""Mommy? Daddy? No Thanks!."" In this comedic series, children reject their overbearing parents in favor of hanging out with robots or fictional characters who never move on from childhood (think Peter Pan and Winnie-the-Pooh).",,,
"5. ""Sleeping 101: A Child's Guide To Training Their Parents"". Sick of being told when to go to sleep? These kids have come up with expert tactics that will guarantee their parents stick around until they're snoring.",,,
"6. ""Pillow Talk With The Rebel Rascals!"". Every kid has broken the rules at least once by staying up too late after lights-out...but what happens when you assemble these little rule-breakers for an underground forum where misbehavior is encouraged?",,,
"7. ""Bedtime Battles & Breakthroughs"" - Join our main character as he struggles through different obstacles trying desperately to avoid falling asleep before both Mom and Dad tucks him in bed!",,,
"8. “What’s That Noise?” – When strange sounds start happening during bedtime routines, three siblings band together to investigate if it might be aliens instead of complete silence keeping them wide awake.",,,
9. “Sneaky Snacks” – It’s always snack time somewhere… but not when your mom or dad insist you need nothing more than sweet dreams before bedtime. Watch as these kids try ingenious ways to sneak their favorite midnight snacks under the blankets.,,,
"10. “The Great Sleepover” – In this series, an entire neighborhood of children band together for a night-long slumber party with one simple goal: never letting parents separate them ever again!",,,
"1. ""The Parent Trap Chronicles"": A young girl and her mischievous friends team up to come up with elaborate schemes to reunite their parents, who they believe are being kept apart by a sinister force. ",,,
"2. ""The Great Kid Rebellion"": Children from all over the world band together to launch an international revolt against their parents' petty rules and regulations, leading to hilarious mishaps and heartfelt moments of understanding. ",,,
"3. ""Bedtime Battles"": Each chapter follows a different child's bedtime dilemma, ranging from scary monsters under the bed to stubborn refusal to brush teeth, while imaginative solutions are crafted with humor and empathy.",,,
"4. ""Grown Ups? More Like Grouch-Ups!"": A group of kids start a secret club where they can complain about every little thing their parents do that drives them crazy, but soon discover that in doing so they're also learning valuable lessons about love and forgiveness.",,,
"5. ""Family Freakout Frenzy"": After discovering that their family has some truly bizarre quirks - like collecting toenail clippings or refusing to eat anything green - one adventurous kid sets out on a mission to uncover the secrets at the root of these odd habits.",,,
"6."" The Misadventures of Mommy's Little Monsters "": Follows two siblings as they get into various kinds troubles around house from accidentally putting plastic toy down toilet bowel or trying shoes polish for shaving cream which will make you feel nostalgic yet appreciative being parent.",,,
"7.""No Way Parents Day"" chronicled humorous events happening during annual day when children took control over household responsibilities resulting in slapstick fun mayhem galore & plenty parental received ego blows too.",,,
"8.""Super Secret Stay-Up Society"" When a group of kids discovers that staying up past bedtime offers opportunities for adventure never before imagined--including daring missions (to retrieve found property) whether it is mom's earrings swallowed by youngest sibling-their hearts plot grows braver every night.",,,
"9.""My Parents Can't Even"": The story of Tasha's struggle with coming to terms with her too-cool-for-school parents, who seem completely uninterested in her life and dreams. Their journey culminates in a dramatic showdown at school science fair where unexpected (and laugh out loud) things happen.",,,
"10. ""The Parenting Chronicles"": Written by insightful Amazonian warrior queen Anabell Pelequin covering everything from when parents have favorited child making everyone else miserable,to finding an entire family socializing like they've never done before -",,,
"1. ""The Great Divide"": Follow a group of kids who decide to build a bridge that will connect their side of the neighborhood with their parent's side, but end up facing hilarious obstacles along the way.",,,
"2. ""Mommy’s in Mars! And Daddy Bugs Me"": In this sci-fi bedtime series, children are sent on a space mission to find and rescue their parents who got abducted by aliens--only to discover they've been living it up without them!",,,
"3. ""Hey Mom, Can You Hear Me Now?"" Chronicling the adventures of four siblings desperate for one-on-one attention from phone addicted parents, until one day they devise an elaborate scheme that forces them off all technology… ",,,
