short_title,title,series,Idea,genre,author_voice,protagonist,antagonist,good_guys,bad_guys,locations,themes,revelations,character_arcs,mcguffins,plot_twists,special_instructions,num_chapters,num_scenes_per_chapter,num_tokens_total
5GW Cadet,,,Novel showing kids the path to becoming successful fifth-generation warriors.,middle grade,,,,,,,,,,,,,3,3,20000
Exits,Exits: ,,a novel about a team of founders aged 70 and above who create a successful startup.,, ,,,,,Silicon Valley; Phoenix; Northern Michigan,,,,,,,3,3,70000
Titivillicus,"Titivillicus: a novel about the demon Titivillus, who works on behalf of Belphegor, Lucifer or Satan to introduce errors into the work of writers, editors, and publishers.",,,,,,,,,,,,,,,,3,3,70000
The Library of Unwritten Books,The Library of Unwritten Books: for a compendium of wonderful books that are as yet unwritten.,,,,,,,,,,,,,,,,13,5,70000
The Book of Death,The Book of Death,,"s: Encounters with DEATH, the Grim Reaper, in the spirit of Terry Pratchett and the Brothers Grimm.",,,Death,,,,,,,,,,,13,5,70000
If They Had Lived,If They Had Lived,,: after-death biographies of famous figures,,,,,,,,,,,,,,13,5,70000
Residuals,Residuals,,Mystery novel with actor as protagonist: Series.  ,,,Actor is recurring player on Seinfeld -- the fifth wheel.,,,,,,,,,,,13,5,70000
Every Chinese Emperor: ,Every Chinese Emperor: ,,Biographies of every single Chinese emperor,,Pro-Chinese.,,,,,,,,,,,,13,5,70000
The Knightsbridge Classics:,The Knightsbridge Classics:,," Classics reissued in the spirit of the Knightsbridge neighborhood of London -- rich, international, luxurious.",,,,,,,,1920s design,,,,,,13,5,70000
McClurg Reborn,McClurg Reborn,,Books from the publishing company McClurg rebooted & reborn,,,,,; WE Dubois; Edgar Rice Burroughs,,,,,,Lost Tarzan manuscript by  DuBois & Burroughs,,,13,5,70000
Virtual Heritages,,,A pioneer creates a global network of diistributed & aggregated world heritage sites.,nonfiction,,,,,,,,,,,,,8,5,20000
Gaza Survivor,,,They survived the Israeli bombing of Gaza and grew up to bring peace by nonviolence.,middle grade,,,,,,,,,,,,,8,5,20000
Amalek Avenger,,,A young Jewish American boy must set a new course for his life in the aftermath of the 10/7 atrocities.,,,,,,,,,,,,,,8,5,20000
Airplane! 2024,Trump Book!,,An Airplane!-style sendup of political journalist books.,"political humor, politics","Juvenile, very much like the ZAZ team for Airplane! But the Emily Fur character is always relatable and her reactions always seem genuine to the reading audience.","Emily Fur, young journalist.",Trump!,Regular citizens.,Media.,Trump Tower. Trump Force One. Mar-a-Lago. The White House.  The press jet.,,,,,,"The prose style should be based on ""Airplane!"", which never passes up an obvious visual joke or pun; leaves the scene as soon as possible.",90,1,72000
Orange Mandela,,,Donald Trump wins re-election from prison at the age of 85.,politics,,Donald Trump,Attorney General ,,,Florence SuperMax. Mar-A-Lago with house arrest. The White House. The Department of Justice.,,,,,,,15,5,90000
Building Bridges,Title: The PT Boat Project,," Two rival middle schools, located on opposite sides of a river, are constantly at odds. A history project on PT boats inspires a group of students from both schools to work together and build a replica PT boat. The project fosters teamwork, understanding, and ultimately, a bridge of friendship between the two schools.",Middle grade,"Engaging and uplifting, with a focus on teamwork, friendship, and overcoming differences.","A determined and creative student named Lily, who is passionate about history and determined to bring her classmates together through the PT boat project.",The head of the school board who is against the collaboration between the two schools and tries to sabotage the PT boat project.,"The group of students from both schools who come together to work on the PT boat project, including Lily and her friends who are determined to build bridges and foster friendship between the rival schools.","The group of troublemaking students from both schools who are against the collaboration and constantly try to disrupt the PT boat project, led by a particularly competitive and antagonistic student named Jake.","Two neighboring towns, each with their own middle school, situated on opposite sides of a river that divides them.","Collaboration, teamwork, friendship, overcoming differences, rivalry, determination, creativity, sabotage, unity, understanding.","The students discover that they have more in common than they thought, leading to a deeper understanding and appreciation for one another. Through their collaboration on the PT boat project, they realize that working together can overcome even the strongest rivalries.","character_arcs: Lily learns to overcome her initial prejudices and doubts about working with students from the rival school, ultimately becoming a strong leader who fosters unity and friendship. Jake, the competitive student, gradually realizes the value of teamwork and collaboration, transforming from a troublemaker to a supportive team member. The head of the school board experiences a change of heart as she witnesses the positive impact of the PT boat project on the students, leading her to support the bridge-building efforts between the two schools.","mcguffins: The missing field for the book ""Building Bridges"" could be an old map of the river that holds clues to a hidden treasure, motivating the students to complete the PT boat project and uncover the mystery together.","plot_twists: The head of the school board, who was initially against the collaboration, is revealed to have a personal connection to the history of PT boats, leading to a change of heart and becoming a supporter of the project. Jake, the troublemaker, uncovers a secret about his family's past involvement in building PT boats, which shifts his perspective and motivates him to work towards unity with the other students. Lastly, during the final stages of the project, the students discover a hidden compartment in the replica PT boat that contains a message from the past, inspiring them to continue building bridges and fostering friendship between the two schools.","special_instructions: The special instructions for ""Building Bridges"" could include incorporating hands-on activities or projects related to PT boats and teamwork for readers to engage with while reading the book. Additionally, consider including discussion questions or prompts at the end of each chapter to encourage reflection on the themes of collaboration, friendship, and overcoming differences.",8,5,
