text,label
my refund isn't showing up,Refund not showing up
i contacted the seller for a direct refund last week but he still hasn't give me my money. what should i do?,Refund not showing up
"my new card is here, what's the process for activating it?",activate my card
i need assistance to activate the card on my account.,activate my card
why isn't my google top-up pay working?,apple pay or google pay
can you assist on apple watch top ups?,apple pay or google pay
how can i get it to add money automatically while travelling,automatic top up
where do i access the auto top-up function?,automatic top up
when will the money from my bank transfer be available?,balance not updated after bank transfer
why isn't my balance updating?  i did a bank transfer and it isn't current.,balance not updated after bank transfer
i am still awaiting the money i put into my account this morning.,balance not updated after cheque or cash deposit
why isn't my money from a check deposit showing?,balance not updated after cheque or cash deposit
"while transferring money, its getting error out as my transfer is not possible. please help me in this as earlier i was able to do it successfully.",beneficiary not allowed
what are the reasons a beneficiary would be denied?,beneficiary not allowed
can i stop a transaction?,cancel transfer
please help me!  a payment i made had an error on the account number and i can't cancel on my side.  can you cancel it?,cancel transfer
what happens if my card expires?,card about to expire
want to get a new card in china,card about to expire
how can i see the progress of delivery of the card that was sent?,card arrival
my card hasn't came in the mail yet?,card arrival
"i want to link to my card card with you, how?",card linking
i was able to find my card. how to i go about putting it into my app?,card linking
can you explain why i am now getting charged a fee for using my card?,card payment fee charged
why did i get charged more for using my card?,card payment fee charged
there is a payment with my card which i definitely did not make by me .never seen that it before.,card payment not recognised
i have an odd payment in my statement,card payment not recognised
the exchange rate you are using is really bad. this can't possibly be the official interbank exchange rate.,card payment wrong exchange rate
can you please explain why the exchange rate for the item i bought is wrong?,card payment wrong exchange rate
"extra fees on a cash withdrawal, not cool.",cash withdrawal charge
i withdrew cash and was charged,cash withdrawal charge
i got a strange cash withdrawal in my statement,cash withdrawal not recognised
cash i did not get showed up in my account,cash withdrawal not recognised
do i have to go to the bank to change my pin?,change pin
can my pin be changed in any cash machine?,change pin
i live in portugal. do you operate here?,country support
i live in the us and i would like to get a card. how do i go about getting one?,country support
card payment didn't go through.,declined card payment
i had a card payment that was declined.  why?,declined card payment
i cant get money out of the atm with my card.  i just put my card in the atm but it will not allow me to take any money out.  what do i need to do to fix this?,declined cash withdrawal
i can't get any money from my account.,declined cash withdrawal
i can't seem to figure out why my transfers are getting declined.,declined transfer
it says the transfer wasn't accepted.,declined transfer
my app shows a direct debit that isn't mine.,direct debit payment not recognised
someone else charged my card!,direct debit payment not recognised
how many uses are the disposable cards good for?,disposable card limits
what are the guidelines for the disposable cards?,disposable card limits
please tell me how to edit my personal details.,edit personal details
my address is incorrect on my file.,edit personal details
what is the fee for accepting money from a foreign country?,exchange charge
will i be charged for exchanging foreign currencies?,exchange charge
"using your app, would i be able to exchange between usd and gbp?",exchange via app
"with this app, will i be able to exchange currency?",exchange via app
i  see an extra 1£ charge on my app. why did it charge me extra?,extra charge on statement
how come there is a $1 extra charge on my statement?,extra charge on statement
what are the reasons that my mortgage payment won't go through? i'm getting an error and don't know how to correct to get this transfer to go through.,failed transfer
"hi, i'm in progress of purchasing a flat and am trying to make to make a payment.  an error is appearing, and i need assistance.",failed transfer
are you able to make exchanges to eur?,fiat currency support
what fiat currencies are used for holdings?,fiat currency support
please tell me if i'm going to be charged for sending out more cards?,getting spare card
can i have a spare card for this account please?,getting spare card
i lost my phone. what do i need to do?,lost or stolen phone
can i use your services without access to the app?,lost or stolen phone
"i need an actual card that i can hold in my hand, how do i do that?",order physical card
how do i order a card?,order physical card
when will my payment go through?,pending card payment
is there a reason my payments are pending?,pending card payment
why would a cash withdrawal still be pending?,pending cash withdrawal
my account says i have money but i withdrew it in cash.,pending cash withdrawal
it's been some time since refilled the top-up.,pending top up
did i do something incorrectly? where is my top-up?,pending top up
how long will it take for my transfer to stop pending,pending transfer
why is my transfer pending when i already made it?,pending transfer
can i get a refund on an item?,request refund
is it possible to have an item refunded?,request refund
"i'm not sure what is going on here. i've received payment back into my account  for an item i've already received, from about 2 weeks ago.",reverted card payment?
can you tell me why my card payment was cancelled?,reverted card payment?
i'd prefer to use my american express when putting funds into my account.,supported cards and currencies
what kinds of cards can i use to top up?,supported cards and currencies
"i just topped up, and the app denied it.",top up failed
where do i order a disposable virtual card?,top up failed
why was my top-up declined?,top up reverted
you can use it anywhere that accepts mastercard.,top up reverted
"looks like my card payment was duplicated after all. i went to pay at the store earlier, got declined once, second time it works. app still stays pending for one of the payments. can you please remove one of them as it's wrong and clearly was declined?",transaction charged twice
i have a transaction that shows multiple times.,transaction charged twice
"i was charged a fee for the transfer, but can you tell me why?",transfer fee charged
why was i charged a fee for transferring money,transfer fee charged
my transfer has not arrived.,transfer not received by recipient
why is my transaction taking so long to complete?,transfer not received by recipient
why hasn't the transfer shown up in my account yet?,transfer timing
"how long does it take to transfer from china? is there a way to transfer it quickly, i need it urgently?",transfer timing
does the top-up need verified?,verify top up
tell me how to verify a top up.,verify top up
i want to get a visa card,visa or mastercard
i prefer mastercard.,visa or mastercard
i don't want to use this method to identify myself.,why verify identity
why do you have the identity check,why verify identity
i requested money from the atm and it didn't give me as much as i requested.,wrong amount of cash received
why did i only get 20.00,wrong amount of cash received
i think the bank made a mistake on the exchange rates,wrong exchange rate for cash withdrawal
i withdrew cash abroad and the exchange rate applied is wrong.,wrong exchange rate for cash withdrawal
