NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HE_LIM_SUN_FETAL_LUNG_C5_LARGE_PRE_B_CELL	HE_LIM_SUN_FETAL_LUNG_C5_LARGE_PRE_B_CELL	Details ...	188	0.8232481	6.0742154	0.0	0.0	0.0	230	tags=77%, list=9%, signal=78%	
HE_LIM_SUN_FETAL_LUNG_C4_CYCLING_NK_CELL	HE_LIM_SUN_FETAL_LUNG_C4_CYCLING_NK_CELL	Details ...	181	0.8364297	6.0293674	0.0	0.0	0.0	228	tags=78%, list=9%, signal=80%	
HE_LIM_SUN_FETAL_LUNG_C4_CYCLING_T_CELL	HE_LIM_SUN_FETAL_LUNG_C4_CYCLING_T_CELL	Details ...	191	0.81011057	5.906527	0.0	0.0	0.0	225	tags=74%, list=9%, signal=75%	
ZHONG_PFC_C1_OPC	ZHONG_PFC_C1_OPC	Details ...	115	0.8853005	5.9034314	0.0	0.0	0.0	309	tags=93%, list=12%, signal=101%	
HE_LIM_SUN_FETAL_LUNG_C2_CYCLING_DC_CELL	HE_LIM_SUN_FETAL_LUNG_C2_CYCLING_DC_CELL	Details ...	197	0.8058211	5.9023094	0.0	0.0	0.0	380	tags=82%, list=14%, signal=88%	
FAN_EMBRYONIC_CTX_NSC_2	FAN_EMBRYONIC_CTX_NSC_2	Details ...	107	0.8889661	5.713117	0.0	0.0	0.0	224	tags=90%, list=8%, signal=94%	
HE_LIM_SUN_FETAL_LUNG_C5_PRO_B_CELL	HE_LIM_SUN_FETAL_LUNG_C5_PRO_B_CELL	Details ...	161	0.8162839	5.7020264	0.0	0.0	0.0	346	tags=82%, list=13%, signal=89%	
HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL	HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL	Details ...	134	0.8301632	5.6705127	0.0	0.0	0.0	375	tags=86%, list=14%, signal=95%	
HE_LIM_SUN_FETAL_LUNG_C3_CYCLING_DEFINITIVE_ERYTHROBLAST	HE_LIM_SUN_FETAL_LUNG_C3_CYCLING_DEFINITIVE_ERYTHROBLAST	Details ...	167	0.7849582	5.5438046	0.0	0.0	0.0	225	tags=71%, list=9%, signal=73%	
FAN_EMBRYONIC_CTX_MICROGLIA_1	FAN_EMBRYONIC_CTX_MICROGLIA_1	Details ...	84	0.88925177	5.4995375	0.0	0.0	0.0	309	tags=94%, list=12%, signal=103%	
