name,stack_size
steel-chest,50
logistic-chest-passive-provider,50
logistic-chest-active-provider,50
logistic-chest-storage,50
logistic-chest-buffer,50
logistic-chest-requester,50
iron-chest,50
wooden-chest,50
aai-strongbox,40
aai-strongbox-passive-provider,40
aai-strongbox-active-provider,40
aai-strongbox-storage,40
aai-strongbox-buffer,40
aai-strongbox-requester,40
se-linked-container,1
aai-storehouse,30
aai-storehouse-passive-provider,30
aai-storehouse-active-provider,30
aai-storehouse-storage,30
aai-storehouse-buffer,30
aai-storehouse-requester,30
aai-warehouse,20
aai-warehouse-passive-provider,20
aai-warehouse-active-provider,20
aai-warehouse-storage,20
aai-warehouse-buffer,20
aai-warehouse-requester,20
loader,50
fast-loader,50
express-loader,50
transport-belt,100
fast-transport-belt,100
express-transport-belt,100
se-space-transport-belt,100
se-deep-space-transport-belt-black,50
se-deep-space-transport-belt-blue,50
se-deep-space-transport-belt-cyan,50
se-deep-space-transport-belt-green,50
se-deep-space-transport-belt-magenta,50
se-deep-space-transport-belt-red,50
se-deep-space-transport-belt-white,50
se-deep-space-transport-belt-yellow,50
underground-belt,50
fast-underground-belt,50
express-underground-belt,50
se-space-underground-belt,50
se-deep-space-underground-belt-black,50
se-deep-space-underground-belt-blue,50
se-deep-space-underground-belt-cyan,50
se-deep-space-underground-belt-green,50
se-deep-space-underground-belt-magenta,50
se-deep-space-underground-belt-red,50
se-deep-space-underground-belt-white,50
se-deep-space-underground-belt-yellow,50
splitter,50
fast-splitter,50
express-splitter,50
se-space-splitter,50
se-deep-space-splitter-black,50
se-deep-space-splitter-blue,50
se-deep-space-splitter-cyan,50
se-deep-space-splitter-green,50
se-deep-space-splitter-magenta,50
se-deep-space-splitter-red,50
se-deep-space-splitter-white,50
se-deep-space-splitter-yellow,50
burner-inserter,50
inserter,50
long-handed-inserter,50
fast-inserter,50
filter-inserter,50
stack-inserter,50
stack-filter-inserter,50
pipe,100
pipe-to-ground,50
se-space-pipe,100
se-space-pipe-to-ground,50
se-space-pipe-long-j-3,50
se-space-pipe-long-j-5,50
se-space-pipe-long-j-7,50
se-space-pipe-long-s-9,50
se-space-pipe-long-s-15,50
storage-tank,50
pump,50
