text,label
You guys provide EMI option?,EMI
Do you offer Zero Percent EMI payment options?,EMI
COD option is availble?,COD
Do you offer COD to my pincode?,COD
Features of Ortho mattress,ORTHO FEATURES
What are the key features of the SOF Ortho mattress,ORTHO FEATURES
What are the key features of the SOF Ergo mattress,ERGO FEATURES
Features of Ergo mattress,ERGO FEATURES
What is the difference between the Ergo & Ortho variants,COMPARISON
Difference between Ergo & Ortho Mattress,COMPARISON
What is the warranty period?,WARRANTY
Warranty,WARRANTY
How does the 100 night trial work,100 NIGHT TRIAL OFFER
What is the 100-night offer,100 NIGHT TRIAL OFFER
I want to change the size of the mattress.,SIZE CUSTOMIZATION
Need some help in changing size of the mattress,SIZE CUSTOMIZATION
Can you help with the size?,WHAT SIZE TO ORDER
How do I know what size to order?,WHAT SIZE TO ORDER
Get in Touch,LEAD GEN
Want to talk to an live agent,LEAD GEN
Do you deliver to my pincode,CHECK PINCODE
Check pincode,CHECK PINCODE
Do you have any showrooms in Delhi state,DISTRIBUTORS
Do you have any distributors in Mumbai city,DISTRIBUTORS
Price of mattress,MATTRESS COST
Mattress cost,MATTRESS COST
What are the product variants,PRODUCT VARIANTS
Product Variants,PRODUCT VARIANTS
How is SOF different from other mattress brands,ABOUT SOF MATTRESS
Why SOF mattress,ABOUT SOF MATTRESS
It's been a month,DELAY IN DELIVERY
Why so long?,DELAY IN DELIVERY
Order Status,ORDER STATUS
What is my order status?,ORDER STATUS
Need my money back,RETURN EXCHANGE
I want refund,RETURN EXCHANGE
I want to cancel my order,CANCEL ORDER
How can I cancel my order,CANCEL ORDER
Can I get pillows?,PILLOWS
Do you sell pillows?,PILLOWS
Offers,OFFERS
What are the available offers,OFFERS
