name|time|category|group|subgroup|ingredients|products
wooden-chest|0.5|crafting|logistics|storage|[{"type":"item","name":"wood","amount":2}]|[{"type":"item","name":"wooden-chest","amount":1}]
iron-chest|0.5|crafting|logistics|storage|[{"type":"item","name":"iron-plate","amount":8}]|[{"type":"item","name":"iron-chest","amount":1}]
steel-chest|0.5|crafting|logistics|storage|[{"type":"item","name":"steel-plate","amount":8}]|[{"type":"item","name":"steel-chest","amount":1}]
storage-tank|3|crafting|logistics|storage|[{"type":"item","name":"iron-plate","amount":20},{"type":"item","name":"steel-plate","amount":5}]|[{"type":"item","name":"storage-tank","amount":1}]
transport-belt|0.5|pressing|logistics|belt|[{"type":"item","name":"iron-plate","amount":1},{"type":"item","name":"iron-gear-wheel","amount":1}]|[{"type":"item","name":"transport-belt","amount":2}]
fast-transport-belt|0.5|pressing|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":5},{"type":"item","name":"transport-belt","amount":1}]|[{"type":"item","name":"fast-transport-belt","amount":1}]
express-transport-belt|0.5|crafting-with-fluid-or-metallurgy|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":10},{"type":"item","name":"fast-transport-belt","amount":1},{"type":"fluid","name":"lubricant","amount":20}]|[{"type":"item","name":"express-transport-belt","amount":1}]
turbo-transport-belt|0.5|metallurgy|logistics|belt|[{"type":"item","name":"tungsten-plate","amount":5},{"type":"item","name":"express-transport-belt","amount":1},{"type":"fluid","name":"lubricant","amount":20}]|[{"type":"item","name":"turbo-transport-belt","amount":1}]
underground-belt|1|pressing|logistics|belt|[{"type":"item","name":"iron-plate","amount":10},{"type":"item","name":"transport-belt","amount":5}]|[{"type":"item","name":"underground-belt","amount":2}]
fast-underground-belt|2|pressing|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":40},{"type":"item","name":"underground-belt","amount":2}]|[{"type":"item","name":"fast-underground-belt","amount":2}]
express-underground-belt|2|crafting-with-fluid-or-metallurgy|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":80},{"type":"item","name":"fast-underground-belt","amount":2},{"type":"fluid","name":"lubricant","amount":40}]|[{"type":"item","name":"express-underground-belt","amount":2}]
turbo-underground-belt|2|metallurgy|logistics|belt|[{"type":"item","name":"tungsten-plate","amount":40},{"type":"item","name":"express-underground-belt","amount":2},{"type":"fluid","name":"lubricant","amount":40}]|[{"type":"item","name":"turbo-underground-belt","amount":2}]
splitter|1|pressing|logistics|belt|[{"type":"item","name":"iron-plate","amount":5},{"type":"item","name":"electronic-circuit","amount":5},{"type":"item","name":"transport-belt","amount":4}]|[{"type":"item","name":"splitter","amount":1}]
fast-splitter|2|pressing|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":10},{"type":"item","name":"electronic-circuit","amount":10},{"type":"item","name":"splitter","amount":1}]|[{"type":"item","name":"fast-splitter","amount":1}]
express-splitter|2|crafting-with-fluid-or-metallurgy|logistics|belt|[{"type":"item","name":"iron-gear-wheel","amount":10},{"type":"item","name":"advanced-circuit","amount":10},{"type":"item","name":"fast-splitter","amount":1},{"type":"fluid","name":"lubricant","amount":80}]|[{"type":"item","name":"express-splitter","amount":1}]
turbo-splitter|2|metallurgy|logistics|belt|[{"type":"item","name":"processing-unit","amount":2},{"type":"item","name":"tungsten-plate","amount":15},{"type":"item","name":"express-splitter","amount":1},{"type":"fluid","name":"lubricant","amount":80}]|[{"type":"item","name":"turbo-splitter","amount":1}]
burner-inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"iron-plate","amount":1},{"type":"item","name":"iron-gear-wheel","amount":1}]|[{"type":"item","name":"burner-inserter","amount":1}]
inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"iron-plate","amount":1},{"type":"item","name":"iron-gear-wheel","amount":1},{"type":"item","name":"electronic-circuit","amount":1}]|[{"type":"item","name":"inserter","amount":1}]
long-handed-inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"iron-plate","amount":1},{"type":"item","name":"iron-gear-wheel","amount":1},{"type":"item","name":"inserter","amount":1}]|[{"type":"item","name":"long-handed-inserter","amount":1}]
fast-inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"iron-plate","amount":2},{"type":"item","name":"electronic-circuit","amount":2},{"type":"item","name":"inserter","amount":1}]|[{"type":"item","name":"fast-inserter","amount":1}]
bulk-inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"iron-gear-wheel","amount":15},{"type":"item","name":"electronic-circuit","amount":15},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"fast-inserter","amount":1}]|[{"type":"item","name":"bulk-inserter","amount":1}]
stack-inserter|0.5|crafting|logistics|inserter|[{"type":"item","name":"processing-unit","amount":1},{"type":"item","name":"jelly","amount":10},{"type":"item","name":"carbon-fiber","amount":2},{"type":"item","name":"bulk-inserter","amount":1}]|[{"type":"item","name":"stack-inserter","amount":1}]
small-electric-pole|0.5|electronics|logistics|energy-pipe-distribution|[{"type":"item","name":"wood","amount":1},{"type":"item","name":"copper-cable","amount":2}]|[{"type":"item","name":"small-electric-pole","amount":2}]
medium-electric-pole|0.5|electronics|logistics|energy-pipe-distribution|[{"type":"item","name":"steel-plate","amount":2},{"type":"item","name":"iron-stick","amount":4},{"type":"item","name":"copper-cable","amount":2}]|[{"type":"item","name":"medium-electric-pole","amount":1}]
big-electric-pole|0.5|electronics|logistics|energy-pipe-distribution|[{"type":"item","name":"steel-plate","amount":5},{"type":"item","name":"iron-stick","amount":8},{"type":"item","name":"copper-cable","amount":4}]|[{"type":"item","name":"big-electric-pole","amount":1}]
substation|0.5|electronics|logistics|energy-pipe-distribution|[{"type":"item","name":"steel-plate","amount":10},{"type":"item","name":"copper-cable","amount":6},{"type":"item","name":"advanced-circuit","amount":5}]|[{"type":"item","name":"substation","amount":1}]
pipe|0.5|crafting|logistics|energy-pipe-distribution|[{"type":"item","name":"iron-plate","amount":1}]|[{"type":"item","name":"pipe","amount":1}]
pipe-to-ground|0.5|crafting|logistics|energy-pipe-distribution|[{"type":"item","name":"iron-plate","amount":5},{"type":"item","name":"pipe","amount":10}]|[{"type":"item","name":"pipe-to-ground","amount":2}]
casting-pipe|1|metallurgy|logistics|energy-pipe-distribution|[{"type":"fluid","name":"molten-iron","amount":10}]|[{"type":"item","name":"pipe","amount":1}]
casting-pipe-to-ground|1|metallurgy|logistics|energy-pipe-distribution|[{"type":"item","name":"pipe","amount":10},{"type":"fluid","name":"molten-iron","amount":50}]|[{"type":"item","name":"pipe-to-ground","amount":2}]
pump|2|crafting|logistics|energy-pipe-distribution|[{"type":"item","name":"steel-plate","amount":1},{"type":"item","name":"engine-unit","amount":1},{"type":"item","name":"pipe","amount":1}]|[{"type":"item","name":"pump","amount":1}]
rail|0.5|crafting|logistics|train-transport|[{"type":"item","name":"stone","amount":1},{"type":"item","name":"steel-plate","amount":1},{"type":"item","name":"iron-stick","amount":1}]|[{"type":"item","name":"rail","amount":2}]
rail-ramp|0.5|crafting|logistics|train-transport|[{"type":"item","name":"steel-plate","amount":10},{"type":"item","name":"rail","amount":8},{"type":"item","name":"refined-concrete","amount":100}]|[{"type":"item","name":"rail-ramp","amount":1}]
rail-support|0.5|crafting|logistics|train-transport|[{"type":"item","name":"steel-plate","amount":10},{"type":"item","name":"refined-concrete","amount":20}]|[{"type":"item","name":"rail-support","amount":1}]
train-stop|0.5|crafting|logistics|train-transport|[{"type":"item","name":"iron-plate","amount":6},{"type":"item","name":"steel-plate","amount":3},{"type":"item","name":"iron-stick","amount":6},{"type":"item","name":"electronic-circuit","amount":5}]|[{"type":"item","name":"train-stop","amount":1}]
rail-signal|0.5|crafting|logistics|train-transport|[{"type":"item","name":"iron-plate","amount":5},{"type":"item","name":"electronic-circuit","amount":1}]|[{"type":"item","name":"rail-signal","amount":1}]
rail-chain-signal|0.5|crafting|logistics|train-transport|[{"type":"item","name":"iron-plate","amount":5},{"type":"item","name":"electronic-circuit","amount":1}]|[{"type":"item","name":"rail-chain-signal","amount":1}]
locomotive|4|crafting|logistics|train-transport|[{"type":"item","name":"steel-plate","amount":30},{"type":"item","name":"electronic-circuit","amount":10},{"type":"item","name":"engine-unit","amount":20}]|[{"type":"item","name":"locomotive","amount":1}]
cargo-wagon|1|crafting|logistics|train-transport|[{"type":"item","name":"iron-plate","amount":20},{"type":"item","name":"steel-plate","amount":20},{"type":"item","name":"iron-gear-wheel","amount":10}]|[{"type":"item","name":"cargo-wagon","amount":1}]
fluid-wagon|1.5|crafting|logistics|train-transport|[{"type":"item","name":"steel-plate","amount":16},{"type":"item","name":"iron-gear-wheel","amount":10},{"type":"item","name":"storage-tank","amount":1},{"type":"item","name":"pipe","amount":8}]|[{"type":"item","name":"fluid-wagon","amount":1}]
artillery-wagon|4|crafting|logistics|train-transport|[{"type":"item","name":"iron-gear-wheel","amount":40},{"type":"item","name":"processing-unit","amount":10},{"type":"item","name":"engine-unit","amount":60},{"type":"item","name":"tungsten-plate","amount":60},{"type":"item","name":"refined-concrete","amount":60}]|[{"type":"item","name":"artillery-wagon","amount":1}]
car|2|crafting|logistics|transport|[{"type":"item","name":"iron-plate","amount":20},{"type":"item","name":"steel-plate","amount":5},{"type":"item","name":"engine-unit","amount":8}]|[{"type":"item","name":"car","amount":1}]
tank|5|crafting|logistics|transport|[{"type":"item","name":"steel-plate","amount":50},{"type":"item","name":"iron-gear-wheel","amount":15},{"type":"item","name":"advanced-circuit","amount":10},{"type":"item","name":"engine-unit","amount":32}]|[{"type":"item","name":"tank","amount":1}]
spidertron|10|crafting|logistics|transport|[{"type":"item","name":"raw-fish","amount":1},{"type":"item","name":"fission-reactor-equipment","amount":2},{"type":"item","name":"exoskeleton-equipment","amount":4},{"type":"item","name":"radar","amount":2},{"type":"item","name":"rocket-turret","amount":1}]|[{"type":"item","name":"spidertron","amount":1}]
logistic-robot|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"advanced-circuit","amount":2},{"type":"item","name":"flying-robot-frame","amount":1}]|[{"type":"item","name":"logistic-robot","amount":1}]
construction-robot|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":2},{"type":"item","name":"flying-robot-frame","amount":1}]|[{"type":"item","name":"construction-robot","amount":1}]
active-provider-chest|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":3},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"steel-chest","amount":1}]|[{"type":"item","name":"active-provider-chest","amount":1}]
passive-provider-chest|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":3},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"steel-chest","amount":1}]|[{"type":"item","name":"passive-provider-chest","amount":1}]
storage-chest|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":3},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"steel-chest","amount":1}]|[{"type":"item","name":"storage-chest","amount":1}]
buffer-chest|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":3},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"steel-chest","amount":1}]|[{"type":"item","name":"buffer-chest","amount":1}]
requester-chest|0.5|crafting|logistics|logistic-network|[{"type":"item","name":"electronic-circuit","amount":3},{"type":"item","name":"advanced-circuit","amount":1},{"type":"item","name":"steel-chest","amount":1}]|[{"type":"item","name":"requester-chest","amount":1}]
roboport|5|crafting|logistics|logistic-network|[{"type":"item","name":"steel-plate","amount":45},{"type":"item","name":"iron-gear-wheel","amount":45},{"type":"item","name":"advanced-circuit","amount":45}]|[{"type":"item","name":"roboport","amount":1}]
small-lamp|0.5|crafting|logistics|circuit-network|[{"type":"item","name":"iron-plate","amount":1},{"type":"item","name":"copper-cable","amount":3},{"type":"item","name":"electronic-circuit","amount":1}]|[{"type":"item","name":"small-lamp","amount":1}]
arithmetic-combinator|0.5|crafting|logistics|circuit-network|[{"type":"item","name":"copper-cable","amount":5},{"type":"item","name":"electronic-circuit","amount":5}]|[{"type":"item","name":"arithmetic-combinator","amount":1}]
decider-combinator|0.5|crafting|logistics|circuit-network|[{"type":"item","name":"copper-cable","amount":5},{"type":"item","name":"electronic-circuit","amount":5}]|[{"type":"item","name":"decider-combinator","amount":1}]
selector-combinator|0.5|crafting|logistics|circuit-network|[{"type":"item","name":"advanced-circuit","amount":2},{"type":"item","name":"decider-combinator","amount":5}]|[{"type":"item","name":"selector-combinator","amount":1}]
constant-combinator|0.5|crafting|logistics|circuit-network|[{"type":"item","name":"copper-cable","amount":5},{"type":"item","name":"electronic-circuit","amount":2}]|[{"type":"item","name":"constant-combinator","amount":1}]
power-switch|2|crafting|logistics|circuit-network|[{"type":"item","name":"iron-plate","amount":5},{"type":"item","name":"copper-cable","amount":5},{"type":"item","name":"electronic-circuit","amount":2}]|[{"type":"item","name":"power-switch","amount":1}]
