text,label
I want to know about offers and referral programs,OFFERS AND REFERRALS
What are offers and referral programs available,OFFERS AND REFERRALS
Check Deposit Status,CHECK DEPOSIT STATUS
My deposit statement,CHECK DEPOSIT STATUS
How to join a Contest?,JOIN CONTEST
How can I join a Contest on PowerPlay11?,JOIN CONTEST
Withdrawal Time,WITHDRAWAL TIME
How much time it takes to withdraw my amount,WITHDRAWAL TIME
Where is my withdraw,WITHDRAWAL INTRO
Withdrawals,WITHDRAWAL INTRO
Details for Bank Account Verification,BANK VERIFICATION DETAILS
What details I need to provide for bank account,BANK VERIFICATION DETAILS
Wrong amount refund,REFUND OF WRONG AMOUNT
Amount added by mistake,REFUND OF WRONG AMOUNT
Refund of Added Cash,REFUND OF ADDED CASH
Please refund money,REFUND OF ADDED CASH
Chat With an Agent,CHAT WITH AN AGENT
Nope,CHAT WITH AN AGENT
My winnings are wrong,LESS WINNINGS AMOUNT
My winnings are incorrect,LESS WINNINGS AMOUNT
Did not receive my winnings,WINNINGS
Did not receive my amount,WINNINGS
Instant Withdrawal,INSTANT WITHDRAWAL
Instant withdrawal is available,INSTANT WITHDRAWAL
Check withdrawal status,WITHDRAWAL STATUS
I want to view my withdrawal status,WITHDRAWAL STATUS
PAN Card verification failed,PAN VERIFICATION FAILED
PAN verification failed,PAN VERIFICATION FAILED
How Are Points Calculated on PowerPlay11,HOW POINTS CALCULATED
How are points distributed in the MPL app?,HOW POINTS CALCULATED
Change My Bank Account,CHANGE BANK ACCOUNT
How to change Bank account,CHANGE BANK ACCOUNT
Change My Profile or Team Details,CHANGE PROFILE TEAM DETAILS
Update My Profile/Team Details,CHANGE PROFILE TEAM DETAILS
Modify mobile number,CHANGE MOBILE NUMBER
Change phone number,CHANGE MOBILE NUMBER
Taxes on Winnings,TAXES ON WINNINGS
Are there any taxes associated with withdrawals,TAXES ON WINNINGS
Fake teams,FAKE TEAMS
You have your own team in the leagues,FAKE TEAMS
Why I haven't received any email confirmation link,NO EMAIL CONFIRMATION
No Email Confirmation,NO EMAIL CONFIRMATION
Withdraw Cash Bonus,WITHDRAW CASH BONUS
Bonus funds cashout,WITHDRAW CASH BONUS
Cash Bonus Expiry,CASH BONUS EXPIRY
Expiry of my gaming bonus,CASH BONUS EXPIRY
Cash Bonus,CASH BONUS
Loyalty Bonus,CASH BONUS
Types of Bonus,TYPES BONUS
What is the difference between sign-up bonus and cash bonus,TYPES BONUS
What is the deadline for a match on PowerPlay11?,TEAM DEADLINE
Team Deadline for Match,TEAM DEADLINE
Account Not Verified,ACCOUNT NOT VERIFIED
How to Verify my Account?,ACCOUNT NOT VERIFIED
Why do I Need to Verify my Account,WHY VERIFY
Why do I need to Verify,WHY VERIFY
Contests,TYPES CONTESTS
Types of Contests,TYPES CONTESTS
How to Verify my email address,VERIFY EMAIL
Verify Email,VERIFY EMAIL
Verify PAN Card,VERIFY PAN
How to verify my PAN Card?,VERIFY PAN
How to verify my mobile number,VERIFY MOBILE
Verify Mobile Number,VERIFY MOBILE
Account reset,ACCOUNT RESET
PowerPlay11 account reset,ACCOUNT RESET
What happens in case there is a tie,WHAT IF THERES A TIE
And if there is a tie,WHAT IF THERES A TIE
Cannot See Joined Contests,CANNOT SEE JOINED CONTESTS
Why can I not see my joined leagues,CANNOT SEE JOINED CONTESTS
Fairplay Violation,FAIRPLAY VIOLATIONS
What is considered as FairPlay Violation on PowerPlay11?,FAIRPLAY VIOLATIONS
Points not updated,POINTS NOT UPDATED
Points Delay,POINTS NOT UPDATED
What if a game is completed with wrong scores?,WRONG SCORES
Is there a way to verify scores after a game ends?,WRONG SCORES
Want to know how my Account Balance can get Deducted,ACCOUNT BALANCE DEDUCTED
Account Balance Deducted,ACCOUNT BALANCE DEDUCTED
Signup Bonus,SIGNUP BONUS
New Member Offer,SIGNUP BONUS
How to Play,HOW TO PLAY
How Can I Play on PowerPlay11,HOW TO PLAY
How to delete PAN card,DELETE PAN CARD
I want to change my PAN,DELETE PAN CARD
Wallet Balance,CHECK WALLET BALANCE
Show my wallet balance,CHECK WALLET BALANCE
Unutilized,UNUTILIZED MONEY
Unutilized Amount,UNUTILIZED MONEY
What is the new team format,NEW TEAM PATTERN
How many bolwers I can select,NEW TEAM PATTERN
Thanks a lot,THANKS
Tysm,THANKS
How can you help me,CAPABILITIES
Help me,CAPABILITIES
You are amazing,APPRECIATION
Appreciate it,APPRECIATION
What if amount is debited from account but not added on PowerPlay11?,DEDUCTED AMOUNT NOT RECEIVED
Amount is not received on PowerPlay11 even though debited from account,DEDUCTED AMOUNT NOT RECEIVED
What if a match is abandoned?,MATCH ABANDONED
If match get abandoned will I get refund,MATCH ABANDONED
Are You Online,PRESENCE
Are you there,PRESENCE
How to download app,DOWNLOAD POWERPLAY11
Download app,DOWNLOAD POWERPLAY11
You are horrible,CRITICISM
You are dumb,CRITICISM
Hey,GREETINGS DAY
Hello,GREETINGS DAY
Can you share your number,CONTACT NUMBER
Contact Details,CONTACT NUMBER
How to update the app,UPDATE APP
Guide to updating the poker app,UPDATE APP
Feedback,FEEDBACK
I want to give feedback,FEEDBACK
